permitnum,permitclass,permitclassmapped,permittypemapped,permittypedesc,description,housingunits,statuscurrent,relatedmup,originaladdress1,originalcity,originalstate,originalzip,link,latitude,longitude,location1,daysoutcorrections,numberreviewcycles,dependentbuilding,housingcategory,contractorcompanyname
3003123-EX,Multifamily,Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: Land Use application to establish use for a six story apartment building with 4 917 sq.ft. of ground floor retail. Parking for 18 vehicles will be located in below grade garage.,0.0,Completed,3003123-LU,1111 E PIKE ST,SEATTLE,WA,98122,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3003123-EX'},47.61388874,-122.31756146,"{'latitude': '47.61388874', 'longitude': '-122.31756146'}",0,0,0,N/A,
3003131-EX,Institutional,Non-Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: Land use permit to approve a 1 750 sq.ft.addition to an existing religious facility (Van Hanh Buddist Association).,0.0,Completed,3003131-LU,4837 S FONTANELLE ST,SEATTLE,WA,98118,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3003131-EX'},47.53574137,-122.27148480,"{'latitude': '47.53574137', 'longitude': '-122.2714848'}",0,0,0,N/A,
3001242-EX,Commercial,Non-Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: Cancelled 10/20/2010   Council land use action for a contract rezone from IC-65 to NC3-85.  Proposal also includes a request to vacate portions of S. Lane St.  Dearborn Pl S  & Corwin Pl S. Land use application to allow a 6-story building containing 696 000 sq.ft of retail  45 000 sq.ft of administrative office and 565 residential units (in residential towers above the commercial bases). Parking for 2 307 vehicles to be provided within the structures. Project in,0.0,Canceled,3001242-LU,1400 S DEARBORN ST,SEATTLE,WA,98144,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3001242-EX'},47.59614654,-122.31388861,"{'latitude': '47.59614654', 'longitude': '-122.31388861'}",,,0,N/A,
3001298-EX,Single Family/Duplex,Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: Land Use Application to subdivide one parcel into two parcels of land in an environmentally critical area. Proposed parcel sizes are: A) 5 078 sq. ft. and B) 5 001 sq. ft. Existing single family residence to remain.  Existing detached garage to be removed.,0.0,Completed,3001298-LU,2820 27TH AVE W,SEATTLE,WA,98199,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3001298-EX'},47.64528896,-122.39140251,"{'latitude': '47.64528896', 'longitude': '-122.39140251'}",0,0,0,N/A,
3001314-EX,N/A,N/A,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: Short plat of one lot into four lots.,0.0,Canceled,3001314-LU,6745 18TH AVE SW,SEATTLE,WA,98106,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3001314-EX'},47.54151387,-122.35746542,"{'latitude': '47.54151387', 'longitude': '-122.35746542'}",,,0,N/A,
3002789-EX,Single Family/Duplex,Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: CANCELED 6/1/2011.Land use application to adjust the boundary between three parcels of land. Proposed parcel sizes are: A) 4 470 sq.ft.  B) 5 725 sq.ft.  and C) 4 655 sq.ft.  Existing structure to remain.,0.0,Canceled,3002789-LU,4754 COTTAGE PL SW,SEATTLE,WA,98106,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3002789-EX'},47.55944790,-122.36197938,"{'latitude': '47.5594479', 'longitude': '-122.36197938'}",,,0,N/A,
3003079-EX,N/A,N/A,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: Canceled 9/23/2010 jh.ECA Exemption request for future LBA  (originally submitted for Pre-Sub conf.  which was denied.),0.0,Canceled,3003079-LU,305 24TH AVE E,SEATTLE,WA,98112,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3003079-EX'},47.62162261,-122.30158081,"{'latitude': '47.62162261', 'longitude': '-122.30158081'}",,,0,N/A,Jolly Homes Inc
3003274-EX,Multifamily,Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: Land Use Application to allow a six-story building containing 4 000 sq.  ft. of retail at ground level and 145 residential units above in an environmentally critical area. Parking for 167 vehicles to be provided in a below-grade garage. Project includes 21 900 cu. yds. of grading.  Existing 14 500 sq. ft. commercial structure to remain.,0.0,Completed,3003274-LU,8512 20TH AVE NE,SEATTLE,WA,98115,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3003274-EX'},47.69088591,-122.30660371,"{'latitude': '47.69088591', 'longitude': '-122.30660371'}",0,0,0,N/A,
3001618-EX,Single Family/Duplex,Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: PROJECT CANCELLED -- 9/15/2011 SGP.Land Use Application to subdivide one parcel into two parcels of land in an environmentally critical area.  Proposed parcel sizes are: A) 22 221 sq. ft. and B) 10 684 sq. ft.   Existing structure on proposed parcel A to remain.,0.0,Canceled,3001618-LU,6044 UPLAND TER S,SEATTLE,WA,98118,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3001618-EX'},47.54786009,-122.26488649,"{'latitude': '47.54786009', 'longitude': '-122.26488649'}",,,0,N/A,
3002714-EX,Single Family/Duplex,Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: PROJECT CANCELLED 12/10/10 -- SEPA-Construct two new duplex townhouse buildings  each unit with enclosed garage parking.(ECA EXEMPTION INCLUDED),0.0,Canceled,3002714-LU,1001 STURGUS AVE S,SEATTLE,WA,98144,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3002714-EX'},47.59369750,-122.31427847,"{'latitude': '47.5936975', 'longitude': '-122.31427847'}",,,0,N/A,
3003172-EX,Multifamily,Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: Shoreline Substantial Development Permit to allow one 4-story townhouse structure and six 3-story townhouse structures for a total of 21 units in an environmentally critical area. Parking for 28 vehicles to be provided within the structures. Project includes 8 150 cu. yds. of grading. Existing structures to be removed.,0.0,Completed,3003172-LU,2808 FAIRVIEW AVE E,SEATTLE,WA,98102,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3003172-EX'},47.64602266,-122.32658489,"{'latitude': '47.64602266', 'longitude': '-122.32658489'}",0,0,0,N/A,
3003255-EX,Multifamily,Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: Land use approval to establish use for two 2-unit townhouse structures & one 5-unit townhouse structure for a total of 9 units  in an environmentally critical area. Parking will be located within the structures. Existing structures to be demolished.,0.0,Completed,3003255-LU,2402 W BOSTON ST,SEATTLE,WA,98199,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3003255-EX'},47.63859999,-122.38833307,"{'latitude': '47.63859999', 'longitude': '-122.38833307'}",0,0,0,N/A,
3003258-EX,N/A,N/A,ECA and Shoreline Exemption/Street Improvement Exception Request,Shoreline Exemption,Exception/Exemption Request for: CANCELLED 1/10/2011 -- sepa for landslide restoration & prevention & retaining wall construction (SEE HWT notes).  related construction project #6066109,0.0,Canceled,3003258-LU,2912 NW ESPLANADE,SEATTLE,WA,98117,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3003258-EX'},47.70016386,-122.39467550,"{'latitude': '47.70016386', 'longitude': '-122.3946755'}",,,0,N/A,
3003307-EX,Multifamily,Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: Land use application to allow one 25-story building containing 285 residential units and 1 325 sq. ft. of retail and one 9-story building containing 25 residential units  both over a 5-story parking base for 315 vehicles.  Project includes demolition of two existing structures.Project also includes Special Exception.,0.0,Completed,3003307-LU,802 SENECA ST,SEATTLE,WA,98101,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3003307-EX'},47.60967965,-122.32978562,"{'latitude': '47.60967965', 'longitude': '-122.32978562'}",0,0,0,N/A,
3003045-EX,Multifamily,Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: Land Use Permit to subdivide 1 parcel into 9 parcels of land in an environmentally critical area. Proposed parcel sizes are: A)218 673 sq.ft.  B)53 187 sq.ft.  C)6 264 sq.ft.  D)5 927 sq.ft.  E)5 951 sq.ft. F)5 952 sq.ft.  G)5 952 sq.ft. H)5 952 sq.ft.  I)5 953 sq.ft. Project includes demolition of 4 995 sq.ft. of the easterly portion of an existing administration building.,0.0,Completed,3003045-LU,4739 35TH AVE S,SEATTLE,WA,98118,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3003045-EX'},47.55976063,-122.28951831,"{'latitude': '47.55976063', 'longitude': '-122.28951831'}",0,0,0,N/A,SEATTLE HOUSING AUTH GENERAL
3003088-EX,Multifamily,Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: LAND USE PERMIT TO ESTABLISH USE AS TOWNHOUSES (ONE  2-UNIT AND ONE  3-UNIT STRUCTURE TOTAL OF 5 UNITS) IN AN ENVIRONMENTALLY CRITICAL AREA. EXISTING STRUCTURES REMOVED UNDER SEPARATE PERMIT.,0.0,Completed,3003088-LU,820 28TH AVE S,SEATTLE,WA,98144,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3003088-EX'},47.59517917,-122.29625073,"{'latitude': '47.59517917', 'longitude': '-122.29625073'}",0,0,0,N/A,
3003261-EX,Single Family/Duplex,Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Shoreline Exemption,Exception/Exemption Request for: CANCELLED DUE TO LACK OF ACTIVITY:1/28/15 MPSSD application w/ SEPA to replace existing bulkhead and beach access cove.,0.0,Canceled,3003261-LU,3018 EAST LAURELHURST DR NE,SEATTLE,WA,98105,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3003261-EX'},47.64912939,-122.27589913,"{'latitude': '47.64912939', 'longitude': '-122.27589913'}",,,0,N/A,WILLIAMSON LANDSCAPE ARCH LLC
3003547-EX,N/A,N/A,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: Cancelled  Tree Trimming Exemption Request,0.0,Canceled,3003547-LU,14001 NORTHWOOD PL NW,SEATTLE,WA,98177,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3003547-EX'},47.73068527,-122.36402117,"{'latitude': '47.73068527', 'longitude': '-122.36402117'}",,,0,N/A,
3003679-EX,Commercial,Non-Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: Land use permit to establish a new park (Seattle Parks and Recreation) at former Magnolia Elementary Playfield. Project includes 9 114 cu. yds. of grading. Determination of non-significance by Seattle Parks Department.,0.0,Completed,3003679-LU,2601 W SMITH ST,SEATTLE,WA,98199,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3003679-EX'},47.64063060,-122.39102023,"{'latitude': '47.6406306', 'longitude': '-122.39102023'}",0,0,0,N/A,SEATTLE PARKS DEPT
3004206-EX,Industrial,Non-Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Shoreline Exemption,Exception/Exemption Request for: Shoreline substantial development application to allow construction of a 311 linear ft. bridge and pilings (Port of Seattle). Demolition  bridge and other improvements to cargo terminal (Terminal 25) is also being reviewed under project 3003725. Determination of non-significance prepared by the Port of Seattle.,0.0,Completed,3004206-LU,2715 EAST MARGINAL WAY S,SEATTLE,WA,98134,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3004206-EX'},47.58107429,-122.34113069,"{'latitude': '47.58107429', 'longitude': '-122.34113069'}",0,0,0,N/A,PORT OF SEATTLE ENGINEERING
3001672-EX,Multifamily,Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: Land Use Application to allow a four-story low-income   86-unit apartment building (Seattle Housing Authority). Parking for 90 vehicles to be provided below grade. Project includes 22 000 cu. yds. of grading. Existing structures to be demolished. Determination of Non-Significance prepared by the Seattle Housing Authority.,0.0,Completed,3001672-LU,12536 33RD AVE NE,SEATTLE,WA,98125,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3001672-EX'},47.72033457,-122.29214450,"{'latitude': '47.72033457', 'longitude': '-122.2921445'}",0,0,0,N/A,SEATTLE HOUSING AUTH GENERAL
3002989-EX,Multifamily,Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: Council land use action for a contract rezone of 3 000 sq.ft.from SF7200 to L-3 and establish use for 6 townhouses with parking within the structures. Existing single family residence to be removed.,0.0,Completed,3002989-LU,3012 NE 140TH ST,SEATTLE,WA,98125,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3002989-EX'},47.73030516,-122.29601552,"{'latitude': '47.73030516', 'longitude': '-122.29601552'}",0,0,0,N/A,
3003217-EX,Commercial,Non-Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Shoreline Exemption,Exception/Exemption Request for: Land use permit to establish a minor communication utility on the roof of an existing building consisting of 9 panel antennas (3 sectors  3 antennas per sector).  Equipment cabinet also located on the roof. (Cingular Wireless).,0.0,Completed,3003217-LU,605 1ST AVE,SEATTLE,WA,98104,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3003217-EX'},47.60197119,-122.33438297,"{'latitude': '47.60197119', 'longitude': '-122.33438297'}",0,0,0,N/A,
3003295-EX,Multifamily,Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: Cancel per customer log 10-665Land use application to allow a four story  8 485 sq.ft. addition to an existing structure with  6 090 sq.ft. of administrative office  1 098 sq.ft. of retail  a 648 sq.ft. live-work unit and one residential unit in an environmentally critical area. An additional 12 parking spaces will be provided for a total of 35 parking spaces located within the structure,0.0,Completed,3003295-LU,711 N 35TH ST,SEATTLE,WA,98103,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3003295-EX'},47.65024178,-122.34936208,"{'latitude': '47.65024178', 'longitude': '-122.34936208'}",0,0,0,N/A,
3003402-EX,N/A,N/A,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: PROJECT CANCELLED 12/2/10 -- Short plat one lot into two lots,0.0,Canceled,3003402-LU,2519 PERKINS LN W,SEATTLE,WA,98199,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3003402-EX'},47.64133921,-122.41487797,"{'latitude': '47.64133921', 'longitude': '-122.41487797'}",,,0,N/A,
3003462-EX,N/A,N/A,ECA and Shoreline Exemption/Street Improvement Exception Request,Shoreline Exemption,Exception/Exemption Request for: Burke Gilman trail from 60th Ave.NW to Golden Gardens(5980 seaview ave nw),0.0,Canceled,,,,,,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3003462-EX'},,,,,,0,N/A,SEATTLE TRANSPORTATION
3002052-EX,N/A,N/A,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: Short plat -One lot into two lots.,0.0,Canceled,3002052-LU,2803 W VIEW PL,SEATTLE,WA,98199,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3002052-EX'},47.65649365,-122.39308078,"{'latitude': '47.65649365', 'longitude': '-122.39308078'}",,,0,N/A,
3002715-EX,Multifamily,Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: LAND USE PERMIT TO APPROVE CONSTRUCTION OF TWO  2-UNIT TOWNHOUSES AND TWO SINGLE FAMILY RESIDENCES IN AN ENVIRONMENTALLY CRITICAL AREA. PARKING FOR 6 VEHICLES WILL BE LOCATED WITHIN THE STRUCTURES. EXISTING STRUCTURES TO BE REMOVED.,0.0,Completed,3002715-LU,5509 13TH AVE S,SEATTLE,WA,98108,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3002715-EX'},47.55310307,-122.31655355,"{'latitude': '47.55310307', 'longitude': '-122.31655355'}",0,0,0,N/A,
3003153-EX,Single Family/Duplex,Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: Land use permit to subdivide one parcel into two parcels of land in an environmentally critical area.  Existing structure to remain.,0.0,Completed,3003153-LU,2344 28TH AVE S,SEATTLE,WA,98144,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3003153-EX'},47.58160426,-122.29611039,"{'latitude': '47.58160426', 'longitude': '-122.29611039'}",0,0,0,N/A,
3003293-EX,N/A,N/A,ECA and Shoreline Exemption/Street Improvement Exception Request,Shoreline Exemption,Exception/Exemption Request for: CANCELLED DUE TO LACK OF ACTIVITY:1/28/15 MPshoreline exemption for repair of below grade 53rd Ave Pump Station,0.0,Canceled,3003293-LU,2301 ALKI AVE SW,SEATTLE,WA,98116,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3003293-EX'},47.58354502,-122.40128213,"{'latitude': '47.58354502', 'longitude': '-122.40128213'}",,,0,N/A,King County Wastewater Treatment Division
3003392-EX,N/A,N/A,ECA and Shoreline Exemption/Street Improvement Exception Request,Shoreline Exemption,Exception/Exemption Request for: CANCELLED DUE TO NO ACTIVITY 1/6/15 MH - shoreline exemption to repair bridge apron.,0.0,Canceled,,,,,,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3003392-EX'},,,,,,0,N/A,SEATTLE TRANSPORTATION
3003571-EX,N/A,N/A,ECA and Shoreline Exemption/Street Improvement Exception Request,Shoreline Exemption,Exception/Exemption Request for:,0.0,Canceled,,,,,,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3003571-EX'},,,,,,0,N/A,SEATTLE TRANSPORTATION
3003732-EX,Single Family/Duplex,Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: LAND USE PERMIT TO SUBDIVIDE ONE PARCEL INTO TWO PARCELS OF LAND IN AN ENVIRONMENTALLY CRITICAL AREA.  PROPOSED PARCEL SIZES ARE:  A)5 579.1 SQ FT & B)5 002.5 SQ FT.  EXISTING STRUCTURES TO BE REMOVED.,0.0,Completed,3003732-LU,6503 57TH AVE NE,SEATTLE,WA,98115,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3003732-EX'},47.67592915,-122.26839260,"{'latitude': '47.67592915', 'longitude': '-122.2683926'}",0,0,0,N/A,
3003852-EX,N/A,N/A,ECA and Shoreline Exemption/Street Improvement Exception Request,Shoreline Exemption,Exception/Exemption Request for: Shoreline exemption to use Waterways 5 & 6 for January 2006 Boats Afloat Show,0.0,Completed,3003852-LU,901 FAIRVIEW AVE N,SEATTLE,WA,98109,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3003852-EX'},47.62774795,-122.33385278,"{'latitude': '47.62774795', 'longitude': '-122.33385278'}",0,0,0,N/A,
3003954-EX,N/A,N/A,ECA and Shoreline Exemption/Street Improvement Exception Request,Shoreline Exemption,Exception/Exemption Request for: Shoreline Exemption Tree and Vegeatation Removal (per Maggie Glowacki).,0.0,Canceled,,13760 RIVIERA PL NE,SEATTLE,WA,98125,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3003954-EX'},47.72993290,-122.28202568,"{'latitude': '47.7299329', 'longitude': '-122.28202568'}",,,0,N/A,
3004307-EX,Single Family/Duplex,Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: Land use application to allow a 3-story single family residence with basement garage in an environmentally critical area.,0.0,Completed,3004307-LU,809 26TH AVE E,SEATTLE,WA,98112,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3004307-EX'},47.62621412,-122.29895220,"{'latitude': '47.62621412', 'longitude': '-122.2989522'}",0,0,0,N/A,
3004554-EX,Commercial,Non-Residential,ECA and Shoreline Exemption/Street Improvement Exception Request,Environmentally Critical Area Exemption,Exception/Exemption Request for: Canceled 9/17/20009   Land Use Application to allow a six-story structure containing 18 residential units and 4 557 sq. ft. of ground floor general sales and service use in an environmentally critical area.  Parking for 19 vehicles will be provided within structure.,0.0,Canceled,3004554-LU,151 12TH AVE,SEATTLE,WA,98122,{'url': 'https://services.seattle.gov/portal/customize/LinkToRecord.aspx?altId=3004554-EX'},47.60282807,-122.31710437,"{'latitude': '47.60282807', 'longitude': '-122.31710437'}",,,0,N/A,
